id,zh-tw-airline
AE,華信航空
BR,長榮航空
B7,立榮航空
CI,中華航空
FE,遠東航空
GE,復興航空
IT,台灣虎航
KE,韓國航空
LJ,真航空
OZ,韓亞航空
JL,日本航空
NH,全日空航空
TW,德威航空
CA,中國國際航空
CX,國泰航空
CZ,中國南方航空
FM,上海航空
HO,吉祥航空
HU,海南航空
HX,香港航空
KA,港龍航空
MF,廈門航空
MU,中國東方航空
NX,澳門航空
OM,蒙古航空
SC,山東航空
UO,香港快運航空
ZH,深圳航空
3U,四川航空
AI,印度航空
AK,亞洲航空
BG,孟加拉航空
BI,汶萊皇家航空
D7,亞航X
FD,泰國亞洲航空
FJ,斐濟航空
GA,印尼航空
JQ,捷星航空
MH,馬來西亞
MI,勝安航空
NZ,紐西蘭航空
PG,曼谷航空
PR,菲律賓
QF,澳洲航空
QV,寮國航空
SQ,新加坡航空
TG,泰國航空
TN,大溪地航空
TR,新加坡虎航
TZ,酷航
VN,越南航空
WE,微笑泰航
3K,捷星亞洲航空
5J,宿霧太平洋航空
8M,緬甸國際航空
9W,印度捷特
AA,美國航空
AC,加拿大航空
AR,阿根廷航空
AS,阿拉斯加航空
AV,哥倫比亞航空
B6,捷藍航空
CM,巴拿馬航空
DL,達美航空
F9,FRONTIER AIRLINES
HA,夏威夷航空
LA,南美航空
LP,秘魯航空
MX,墨西哥航空
TA,中美洲航空
UA,聯合航空
US,全美航空
VS,維珍航空
WN,西南航空
EK,阿聯酋航空
EY,阿提哈德航空
ET,衣索比亞航空
GF,海灣航空
LY,以色列航空
IR,伊朗航空
KK,土耳其亞特力斯航空
KQ,肯亞航空
KU,科威特航空
MD,馬達加斯加航空
MK,模里西斯航空
MS,埃及航空
QR,卡達航空
RJ,皇家約旦航空
SA,南非航空
SV,沙烏地阿拉伯航空
W5,伊朗滿漢航空
A3,愛琴海航空
AB,柏林航空
AF,法國航空
AY,芬蘭航空
AZ,義大利航空
BA,英國航空
BD,英倫航空
EI,愛爾蘭航空
FI,冰島航空
HR,漢恩航空
IB,西班牙航空
KC,哈薩克國家航空
LH,德國漢莎航空
LO,波蘭航空
LX,瑞士航空
MA,匈牙利航空
OA,奧林匹克航空
OK,捷克航空
OS,奧地利航空
PS,烏克蘭航空
S7,西伯利亞航空
SK,北歐航空
SN,比利時航空
SU,俄羅斯航空
TP,葡萄牙航空
U2,易捷航空
UX,歐羅巴航空
4U,GERMANWINGS
ZE,易斯達航空
Z2,菲律賓亞洲航空
GK,捷星日本航空
MM,樂桃航空
VZ,泰國越捷航空
VJ,越捷航空
KL,荷蘭皇家航空
SL,泰國獅子航空
7C,濟州航空
TK,土耳其航空
JX,星宇航空